channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
vel2,Persistence,0.0003304868143023643,0.0008364135755253155,0.6048763148125618,172,173
vel3,Persistence,0.018788725828008643,0.018788743982367875,9.662359148343569e-07,172,173
Bcc1,FNO,1.2401580631743705,0.12755923307998757,-8.722213227769364,172,173
Bcc2,FNO,0.150072961441831,0.027020634029531008,-4.55401332469902,172,173
Bcc3,FNO,1.8692941261963167,0.5172583100994195,-2.613850352325958,172,173
rho,FNO,270649.4653436867,0.6255220143953336,-432676.76211731316,172,173
press,FNO,0.6723821586441789,0.13771091931059753,-3.88256241415154,172,173
vel1,FNO,0.14182923174626358,0.04998576506188807,-1.8373924370400818,172,173
vel2,FNO,0.003519665019099384,0.0008364135755253155,-3.2080438697911298,172,173
vel3,FNO,0.030241652043826638,0.018788743982367875,-0.6095621970370473,172,173
Bcc1,3D CNN/U-Net,0.4137305637870283,0.12755923307998757,-2.243438783671532,172,173
Bcc2,3D CNN/U-Net,0.09719530650033988,0.027020634029531008,-2.5970771964164334,172,173
Bcc3,3D CNN/U-Net,0.644940062288602,0.5172583100994195,-0.24684330767859786,172,173
rho,3D CNN/U-Net,2.966820679159581,0.6255220143953336,-3.7429516641832095,172,173
press,3D CNN/U-Net,327.91674233238246,0.13771091931059753,-2380.1963784279787,172,173
vel1,3D CNN/U-Net,0.07406231323149468,0.04998576506188807,-0.48166809370221886,172,173
vel2,3D CNN/U-Net,0.006967588870690062,0.0008364135755253155,-7.330315378147729,172,173
vel3,3D CNN/U-Net,0.024687642916111825,0.018788743982367875,-0.3139591948924163,172,173
Bcc1,Differential LocalNO,0.9064075302803086,0.12755923307998757,-6.105777515234313,172,173
Bcc2,Differential LocalNO,0.015976904263143743,0.027020634029531008,0.4087146790973709,172,173
Bcc3,Differential LocalNO,0.7377347320450175,0.5172583100994195,-0.4262404636925434,172,173
rho,Differential LocalNO,20.161876787205742,0.6255220143953336,-31.232081882354528,172,173
press,Differential LocalNO,10.076735599755745,0.13771091931059753,-72.17310530059245,172,173
vel1,Differential LocalNO,0.08202181318404997,0.04998576506188807,-0.6409034268555782,172,173
vel2,Differential LocalNO,0.004388317183326348,0.0008364135755253155,-4.246587707008742,172,173
vel3,Differential LocalNO,0.03680918538459144,0.018788743982367875,-0.9591083586606262,172,173
Bcc1,Index-space DISCO3D LocalNO,0.8664274194060454,0.12755923307998757,-5.792353626512803,172,173
Bcc2,Index-space DISCO3D LocalNO,0.11305158057141673,0.027020634029531008,-3.1838981442057213,172,173
Bcc3,Index-space DISCO3D LocalNO,0.8767071148930149,0.5172583100994195,-0.6949116094906387,172,173
